seed,vehicles_count,delay_steps,delay_ms,policy,collided,failure,min_headway,min_ttc_est,risk_score,steps
8000,8,0,0.0,heuristic,0,0,20.73439967695893,3.9490958454425287,0.5064450391367707,200
8001,8,0,0.0,heuristic,0,0,45.976209358948836,14.306621946317383,0.1397954043592249,200
8002,8,0,0.0,heuristic,0,0,18.192882940497043,9.100103702061162,0.2197777152305421,200
8003,8,0,0.0,heuristic,0,0,63.006992362964866,16.242357665211884,0.1231348330842159,200
8004,8,0,0.0,heuristic,0,0,22.539038794019376,20.238836050405553,0.09881991212433994,200
8005,8,0,0.0,heuristic,0,0,48.90747148036053,14.205122621672691,0.14079427916719348,200
8006,8,0,0.0,heuristic,0,0,80.15696361029529,25.65369333730515,0.07796148389641952,200
8007,8,0,0.0,heuristic,0,0,42.42119821173378,7.3146661324497355,0.2734232791743545,200
8008,8,0,0.0,heuristic,0,0,23.707678215213832,7.387385733551696,0.27073176792657383,200
8009,8,0,0.0,heuristic,0,0,23.604276930653782,6.941001725030731,0.28814284727629064,200
8010,8,0,0.0,heuristic,0,0,24.1536800310123,7.580784349018445,0.2638249431615818,200
8011,8,0,0.0,heuristic,0,0,21.195189096095305,10.71600181379327,0.18663677318770783,200
8012,8,0,0.0,heuristic,0,0,58.73302080676842,19.943462722533894,0.10028348776866228,200
8013,8,0,0.0,heuristic,0,0,73.8493635543723,30.142848235542882,0.06635073050733487,200
8014,8,0,0.0,heuristic,1,1,5.0,2.257914412695477,1000000.0,119
8015,8,0,0.0,heuristic,0,0,42.647172190969286,13.416441835824633,0.14907082104732064,200
8016,8,0,0.0,heuristic,0,0,61.972831617161035,28.38856016918898,0.07045091361028814,200
8017,8,0,0.0,heuristic,0,0,21.070093329773158,12.838918546154858,0.15577636019810892,200
8018,8,0,0.0,heuristic,0,0,33.44289547281346,11.489472667564309,0.17407239286500575,200
8019,8,0,0.0,heuristic,0,0,23.703512176090612,7.486277538432116,0.267155470757349,200
8020,8,0,0.0,heuristic,0,0,29.756791118740693,12.61992831901757,0.15847950554410875,200
8021,8,0,0.0,heuristic,0,0,12.173645260230444,8.319437375872592,0.24040087203495875,200
8022,8,0,0.0,heuristic,0,0,26.60940302689164,8.322536923709535,0.24031133995961373,200
8023,8,0,0.0,heuristic,0,0,91.70023042989237,26.040639876952554,0.07680302824548155,200
8024,8,0,0.0,heuristic,0,0,100.34492376636422,38.21399977700407,0.05233684020701582,200
8025,8,0,0.0,heuristic,0,0,21.56859105150133,17.753512593214793,0.11265376299473148,200
8026,8,0,0.0,heuristic,1,1,5.0,1.4327941140172673,1000000.0,28
